GEOID,State,2021,Accidents,Severity,PerCapitaAcc
01,AL,5039877,19321,2.128351102,0.003833625
04,AZ,7276316,56486,2.069552598,0.007762994
05,AR,3025891,10935,2.256241427,0.003613812
06,CA,39237836,795469,2.041998171,0.020273009
08,CO,5812069,25340,2.662273086,0.004359893
09,CT,3605597,29762,2.265035952,0.008254389
10,DE,1003384,4842,2.502271789,0.00482567
12,FL,21781128,400926,2.069359323,0.018407036
13,GA,10799566,40086,2.519533004,0.003711816
16,ID,1900923,8544,2.11821161,0.004494659
17,IL,12671469,47105,2.548880161,0.003717406
18,IN,6805985,20850,2.461534772,0.00306348
19,IA,3193079,9607,2.356719059,0.003008695
20,KS,2934582,9033,2.219971217,0.003078122
21,KY,4509394,6638,2.345736668,0.001472038
22,LA,4624047,47224,2.054306402,0.010212699
23,ME,1372247,2185,2.103967168,0.001592279
24,MD,6165129,64873,2.311792272,0.01052257
25,MA,6984723,6392,2.361702128,0.00091514
26,MI,10050811,43843,2.335994343,0.004362136
27,MN,5707390,97165,2.047085456,0.017024419
28,MS,2949965,5317,2.19924812,0.001802394
29,MO,6168187,29633,2.246583201,0.004804167
30,MT,1104271,15964,2.037396642,0.014456596
31,NE,1963692,3320,2.315963855,0.001690693
32,NV,3143991,6197,2.226077134,0.001971062
33,NH,1388992,3863,2.127263321,0.002781154
34,NJ,9267130,52900,2.24138974,0.005708348
35,NM,2115877,2370,2.37721519,0.001120103
36,NY,19835913,108047,2.216198206,0.005447039
37,NC,10551162,91361,2.118364309,0.008658857
38,ND,774948,2258,2.011957484,0.002913744
39,OH,11780017,24407,2.486623786,0.002071899
40,OK,3986639,8806,2.191119691,0.002208878
41,OR,4246155,126297,2.07370529,0.029743851
42,PA,12964056,99975,2.20344086,0.007711707
44,RI,1095610,4451,2.155695349,0.004062577
45,SC,5190705,89216,2.050226417,0.017187646
46,SD,895376,201,2.467661692,0.000224487
47,TN,6975218,52613,2.081253683,0.007542847
48,TX,29527941,149037,2.184940652,0.005047321
49,UT,3337975,49080,2.07289655,0.014703525
50,VT,645570,365,2.397260274,0.000565392
51,VA,8642274,113531,2.176650372,0.013136705
53,WA,7738692,32541,2.305062358,0.004204974
54,WV,1782959,7632,2.185927673,0.004280525
55,WI,5895908,7892,2.835233029,0.001338555
56,WY,578803,990,2.571717172,0.001710427
